later_cve,prior_cve,confirmed_by,relationship_kind,same_codebase,is_incomplete_fix_cause,llm_confidence,overlap_status,overlap_file_count,overlap_files,later_patch_url,prior_patch_url,cited_sentence,best_evidence_url,sheet_year,vendor,product,num_evidence,num_upstream_commits
CVE-2022-1096,chromium:1309225,overlap,see_also,True,False,0.75,overlap,3,src/objects/objects.cc|test/cctest/test-api-interceptors.cc|test/unittests/api/interceptor-unittest.cc,https://chromium.googlesource.com/v8/v8/+/0981e91a4f8692af337e2588562ad1504f4bffdc,https://chromium-review.googlesource.com/c/v8/v8/+/3794525,Issue/Bug Report: https://bugs.chromium.org/p/chromium/issues/detail?id=1309225,https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2022/CVE-2022-1096.md,,,,1,3
CVE-2022-1096,CVE-2021-30551,llm|overlap,incomplete_fix,True,True,0.95,overlap,2,src/objects/objects.cc|test/cctest/test-api-interceptors.cc,https://chromium.googlesource.com/v8/v8/+/0981e91a4f8692af337e2588562ad1504f4bffdc,https://chromium.googlesource.com/v8/v8/+/f9857fdf743eeb263aec3944259ad811f564291b,CVE-2022-1096 was incompletely fixed.,https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2022/CVE-2022-1096.md,,,,8,3
CVE-2022-1232,CVE-2022-1096,llm,incomplete_fix,True,True,0.95,partial,0,,,https://chromium.googlesource.com/v8/v8/+/0981e91a4f8692af337e2588562ad1504f4bffdc,CVE-2022-1096 was incompletely fixed.,https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2022/CVE-2022-1096.md,,,,3,3
CVE-2022-1096,chromium-p0:2280,llm,incomplete_fix,True,True,0.95,no_overlap,0,,https://chromium.googlesource.com/v8/v8/+/0981e91a4f8692af337e2588562ad1504f4bffdc,https://github.com/hongikarchi/archi-tinder/commit/7975d61537f663c2baf225def5efa27e33b091e4,CVE-2022-1096 was incompletely fixed.,https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2022/CVE-2022-1096.md,,,,2,3
CVE-2022-1096,CVE-2016-5128,llm,same_root_cause,True,False,0.80,partial,0,,https://chromium.googlesource.com/v8/v8/+/0981e91a4f8692af337e2588562ad1504f4bffdc,,"So it seems reasonable to search to see if the same vulnerability could be exploited via the other ""if/else"" branch, which is what happened here.",https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2022/CVE-2022-1096.md,,,,2,3
CVE-2022-1364,chromium:1315901,llm|overlap,same_root_cause,True,False,0.80,overlap,1,src/compiler/escape-analysis.cc,https://chromium.googlesource.com/v8/v8/+/8081a5ffa7ebdb0e5b35cf63aa0490ad3578b940,https://chromium-review.googlesource.com/c/v8/v8/+/3755102,Found variants: See https://bugs.chromium.org/p/chromium/issues/detail?id=1315901#c65,https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2022/CVE-2022-1364.md,,,,2,4
CVE-2022-1364,chromium:1263462,llm,same_root_cause,True,False,0.80,no_overlap,0,,https://chromium.googlesource.com/v8/v8/+/8081a5ffa7ebdb0e5b35cf63aa0490ad3578b940,https://chromium-review.googlesource.com/c/v8/v8/+/3253349,"Known cases of the same exploit flow: [CVE-2021-38003](https://bugs.chromium.org/p/chromium/issues/detail?id=1263462) had exploited access to the ""hole"" in the same way.",https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2022/CVE-2022-1364.md,,,,2,4
CVE-2022-1364,CVE-2021-21195,llm,same_root_cause,True,False,0.80,partial,0,,https://chromium.googlesource.com/v8/v8/+/8081a5ffa7ebdb0e5b35cf63aa0490ad3578b940,,Could've been found as a variant of [CVE-2021-21195](https://bugs.chromium.org/p/chromium/issues/detail?id=1182647),https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2022/CVE-2022-1364.md,,,,2,4
CVE-2022-1364,chromium:1182647,llm,same_root_cause,True,False,0.65,no_overlap,0,,https://chromium.googlesource.com/v8/v8/+/8081a5ffa7ebdb0e5b35cf63aa0490ad3578b940,https://chromium-review.googlesource.com/c/v8/v8/+/2748593,Could've been found as a variant of [CVE-2021-21195](https://bugs.chromium.org/p/chromium/issues/detail?id=1182647) or through (differential?) fuzzing.,https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2022/CVE-2022-1364.md,,,,1,4
CVE-2022-1364,CVE-2021-38003,llm,same_root_cause,True,False,0.80,partial,0,,https://chromium.googlesource.com/v8/v8/+/8081a5ffa7ebdb0e5b35cf63aa0490ad3578b940,,"CVE-2021-38003 had exploited access to the ""hole"" in the same way.",https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2022/CVE-2022-1364.md,,,,1,4
CVE-2022-3723,chromium:1378239,overlap,see_also,True,False,0.88,overlap,1,src/compiler/access-info.cc,https://github.com/googleprojectzero/fuzzilli/commit/840c09e07f342c2210694ececd23ef8ac3d669d6,https://chromium-review.googlesource.com/c/v8/v8/+/3981277,Issue/Bug Report: https://bugs.chromium.org/p/chromium/issues/detail?id=1378239 (Embargoed),https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2022/CVE-2022-3723.md,,,,1,3
CVE-2022-4906,CVE-2022-3723,llm,same_root_cause,True,False,0.85,partial,0,,,https://github.com/googleprojectzero/fuzzilli/commit/840c09e07f342c2210694ececd23ef8ac3d669d6,it wouldn't have prevented CVE-2022-4906 (see above) which is otherwise very similar.,https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2022/CVE-2022-3723.md,,,,2,3
CVE-2022-3723,chromium:1382434,llm,same_root_cause,True,False,0.78,no_overlap,0,,https://github.com/googleprojectzero/fuzzilli/commit/840c09e07f342c2210694ececd23ef8ac3d669d6,https://chromium-review.googlesource.com/c/v8/v8/+/4040931,Found variants: Sergei Glazunov from Project Zero found a similar bug that involves copy-on-write arrays: [CVE-2022-4906](https://bugs.chromium.org/p/chromium/issues/detail?id=1382434).,https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2022/CVE-2022-3723.md,,,,1,3
CVE-2023-38831,CVE-2023-3883,llm,same_root_cause,True,False,0.78,no_patches,0,,,,"Note that while most samples exploiting CVE-2023-3883 use an archive entry with a trailing space, it is not a requirement, and a space in any position in the file extension is sufficient to trigger the bug (e.g. entry with `poc.invalid_ext` will also result in `shell32!ApplyDefaultExts` code path to be taken).",https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2023/CVE-2023-38831.md,,,,1,0
CVE-2023-28252,CVE-2023-23376,llm,same_root_cause,True,False,0.75,no_patches,0,,,,The ITW exploitation strategies and code flows are close to the exploit of [CVE-2023-23376],https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2023/CVE-2023-28252.md,,,,3,0
CVE-2023-28252,CVE-2022-37969,llm,same_root_cause,True,False,0.85,no_patches,0,,,,"**Known cases of the same exploit flow:** The gadgets are same as the ITW exploit of `CVE-2023-23376`, the code layout has overlaps with the ITW exploit of `CVE-2022-37969`.",https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2023/CVE-2023-28252.md,,,,1,0
CVE-2023-36802,CVE-2022-37969,llm,same_root_cause,True,False,0.80,no_patches,0,,,,"Known cases of the same exploit flow: The in the wild exploited CVE-2022-37969 CLFS vulnerability followed a very similar exploit flow, as descibed by [Zscaler's blogpost](https://www.zscaler.com/blogs/security-research/technical-analysis-windows-clfs-zero-day-vulnerability-cve-2022-37969-part2-exploit-analysis).",https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2023/CVE-2023-36802.md,,,,1,0
CVE-2023-26369,CVE-2011-3402,llm,same_root_cause,True,False,0.80,no_patches,0,,,,The vulnerability is very similar to CVE-2011-3402 affecting the TrueType font parsing engine in win32k and exploited in the wild by Duqu.,https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2023/CVE-2023-26369.md,,,,1,0
CVE-2023-36033,CVE-2022-21902,llm,same_root_cause,True,False,0.78,no_patches,0,,,,`CVE-2022-21902` is an OOB read in `CKeyframeAnimation::AddKeyframeData` dealing with *DCOMPOSITION_EXPRESSION_TYPE_PATH* type of `CPathData`,https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2023/CVE-2023-36033.md,,,,1,0
CVE-2023-6345,CVE-2023-2136,llm,same_root_cause,True,False,0.85,no_patches,0,,,,Exploits for [CVE-2023-2136] and CVE-2023-6345 used the same technique to reach Skia from within the Chrome renderer (i.e. by using a `DrawSlugOp` command).,https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2023/CVE-2023-6345.md,,,,2,0
CVE-2023-33107,CVE-2020-11261,llm,same_root_cause,True,False,0.85,partial,0,,https://git.codelinaro.org/clo/la/kernel/msm-4.19/-/commit/d66b799c804083ea5226cfffac6d6c4e7ad4968b,,CVE-2023-33107 could have been found by analyzing the patch for CVE-2020-11261 and auditing the same code area for variants.,https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2023/CVE-2023-33107.md,,,,2,0
CVE-2020-0030,CVE-2019-2215,llm,incomplete_fix,True,True,0.95,no_overlap,0,,https://github.com/Ancient-Project/android_kernel_xiaomi_whyred/commit/25568730c2458298951f10b084aa5e4602db88a2,https://git.kernel.org/pub/scm/linux/kernel/git/stable/linux.git/commit/drivers/android/binder.c?h=linux-4.14.y&id=7a3cee43e935b9d526ad07f20bf005ba7e74d05b,The patch for the in-the-wild 0-day (CVE-2019-2215) actually introduced another use-after-free condition.,https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2019/CVE-2019-2215.md,,,,2,7
CVE-2019-11707,CVE-2019-9810,llm,same_root_cause,True,False,0.80,no_overlap,0,,https://github.com/mozilla/gecko-dev/commit/4ca7a9d3ee9c7fe0d432bd3d3e251238a6f71721,https://github.com/tarafans/collections/commit/ae0aa2d34eb52bcc881ede07b52018e094e771d4,"The result is a classic incorrect side-effect modelling bug, similar to for example [CVE-2019-9810](https://www.mozilla.org/en-US/security/advisories/mfsa2019-09/#CVE-2019-9810) or [CVE-2018-17463](https://chromereleases.googleblog.com/2018/10/stable-channel-update-for-desktop.html).",https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2019/CVE-2019-11707.md,,,,2,5
CVE-2019-11707,mozilla:1607670,llm,same_root_cause,True,False,0.80,no_patches,0,,https://github.com/mozilla/gecko-dev/commit/4ca7a9d3ee9c7fe0d432bd3d3e251238a6f71721,https://bugzilla.mozilla.org/show_bug.cgi?id=1607670,which found a non-security variant of this bug pattern: https://bugzilla.mozilla.org/show_bug.cgi?id=1607670,https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2019/CVE-2019-11707.md,,,,1,5
CVE-2019-1367,CVE-2018-8653,llm,same_root_cause,True,False,0.86,no_patches,0,,,,"Therefore it’s likely that the actor found this bug by performing variant analysis on CVE-2018-8653, looking for vulnerabilities in the same bug class.",https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2019/CVE-2019-1367.md,,,,6,6
CVE-2019-1367,chromium-p0:1504,llm,same_root_cause,True,False,0.80,no_patches,0,,,,"Finds numerous bugs ([P0 1504](https://bugs.chromium.org/p/project-zero/issues/detail?id=1504), [P0 1505]..., [P0 1506]...) through fuzzer",https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2019/CVE-2019-1367.md,,,,1,6
CVE-2019-1367,chromium-p0:1505,llm,same_root_cause,True,False,0.80,partial,0,,,https://github.com/campfirein/byterover-cli/commit/7239365b0fee9e2046e45cd82fca5b84e833cc63,"Finds numerous bugs ([P0 1504](https://bugs.chromium.org/p/project-zero/issues/detail?id=1504), [P0 1505](https://bugs.chromium.org/p/project-zero/issues/detail?id=1505), [P0 1506](https://bugs.chromium.org/p/project-zero/issues/detail?id=1506), [P0 1587](https://bugs.chromium.org/p/project-zero/issues/detail?id=1587)) through fuzzer",https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2019/CVE-2019-1367.md,,,,1,6
CVE-2020-1429,CVE-2019-1367,llm,incomplete_fix,True,True,0.90,no_patches,0,,,,The incomplete patch and the variant are patched as CVE-2020-1429.,https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2019/CVE-2019-1367.md,,,,1,6
CVE-2020-0674,CVE-2019-1367,llm,incomplete_fix,True,True,0.90,no_patches,0,,,,* **Nov 2019** - The incomplete patch and the variant are patched as CVE-2020-1429. * **Jan 2020** - TAG discovers another in-the-wild exploit sample ([CVE-2020-0674](../2020/CVE-2020-0674.md)) using a trivial variant of CVE-2019-1367/CVE-2019-1429.,https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2019/CVE-2019-1367.md,,,,10,6
CVE-2019-1367,chromium-p0:1947,llm,same_root_cause,True,False,0.80,partial,0,,,https://github.com/bomino/Z-t-Chi-Calculator.v2/commit/6a4f508c1adbcb6be3e9ad90a2548fd914e4866a,Found variants: * [P0 1947](https://bugs.chromium.org/p/project-zero/issues/detail?id=1947) (CVE-2019-1429): Use-after-free where members of the arguments object aren’t tracked by the garbage collector during the toJSON callback.,https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2019/CVE-2019-1367.md,,,,1,6
CVE-2019-13720,chromium:1019226,overlap,see_also,True,False,0.85,overlap,1,third_party/blink/renderer/modules/webaudio/convolver_node.cc,https://chromium-review.googlesource.com/c/chromium/src/+/1888103,https://chromium-review.googlesource.com/c/chromium/src/+/1890711,**Issue/Bug Report:** https://bugs.chromium.org/p/chromium/issues/detail?id=1019226,https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2019/CVE-2019-13720.md,,,,1,8
CVE-2019-13720,chromium:977107,overlap,see_also,True,False,0.78,overlap,1,third_party/blink/renderer/modules/webaudio/offline_audio_destination_node.cc,https://chromium-review.googlesource.com/c/chromium/src/+/1888103,https://chromium-review.googlesource.com/c/chromium/src/+/1701610,"The [bug report](https://bugs.chromium.org/p/chromium/issues/detail?id=977107) was made public in October 2019, 10 days before Kaspersky discovered and reported this vulnerability.",https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2019/CVE-2019-13720.md,,,,1,8
CVE-2019-13732,CVE-2019-13720,llm,same_root_cause,True,False,0.80,partial,0,,,https://chromium-review.googlesource.com/c/chromium/src/+/1888103,"Found variants: P0 1963 (CVE-2019-13732, CVE-2020-6406): Heap use-after-free in PannerHandler::TailTime.",https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2019/CVE-2019-13720.md,,,,1,8
CVE-2020-6406,CVE-2019-13720,llm,same_root_cause,True,False,0.80,partial,0,,,https://chromium-review.googlesource.com/c/chromium/src/+/1888103,"Found variants: * [P0 1963] (CVE-2019-13732, CVE-2020-6406): Heap use-after-free in PannerHandler::TailTime.",https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2019/CVE-2019-13720.md,,,,1,8
CVE-2019-13720,chromium-p0:1963,llm,incomplete_fix,True,True,0.90,no_overlap,0,,https://chromium-review.googlesource.com/c/chromium/src/+/1888103,https://github.com/sachinshelke/ToolsConnector/commit/96247c9f81114f4677d87d4f9b66578b10358e08,First patch was incomplete and thus the 2nd CVE was issued to fully fix the issue.,https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2019/CVE-2019-13720.md,,,,2,8
CVE-2020-6427,CVE-2019-13720,llm,incomplete_fix,True,True,0.90,partial,0,,,https://chromium-review.googlesource.com/c/chromium/src/+/1888103,First patch was incomplete and thus the 2nd CVE was issued to fully fix the issue.,https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2019/CVE-2019-13720.md,,,,1,8
CVE-2020-6428,CVE-2019-13720,llm,incomplete_fix,True,True,0.96,partial,0,,,https://chromium-review.googlesource.com/c/chromium/src/+/1888103,First patch was incomplete and thus the 2nd CVE was issued to fully fix the issue.,https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2019/CVE-2019-13720.md,,,,1,8
CVE-2020-6429,CVE-2019-13720,llm,incomplete_fix,True,True,0.95,partial,0,,,https://chromium-review.googlesource.com/c/chromium/src/+/1888103,First patch was incomplete and thus the 2nd CVE was issued to fully fix the issue.,https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2019/CVE-2019-13720.md,,,,1,8
CVE-2020-6449,CVE-2019-13720,llm,incomplete_fix,True,True,0.95,no_overlap,0,,https://github.com/github/securitylab/commit/8f105de75d7375a8ed2403107a0c40443136ecd4,https://chromium-review.googlesource.com/c/chromium/src/+/1888103,First patch was incomplete and thus the 2nd CVE was issued to fully fix the issue.,https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2019/CVE-2019-13720.md,,,,1,8
CVE-2020-6451,CVE-2019-13720,llm,incomplete_fix,True,True,0.90,partial,0,,,https://chromium-review.googlesource.com/c/chromium/src/+/1888103,First patch was incomplete and thus the 2nd CVE was issued to fully fix the issue.,https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2019/CVE-2019-13720.md,,,,1,8
CVE-2020-6450,CVE-2019-13720,llm,incomplete_fix,True,True,0.95,partial,0,,,https://chromium-review.googlesource.com/c/chromium/src/+/1888103,First patch was incomplete and thus the 2nd CVE was issued to fully fix the issue.,https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2019/CVE-2019-13720.md,,,,1,8
CVE-2021-39793,CVE-2021-28664,llm,incomplete_fix,True,True,0.90,partial,0,,https://android.googlesource.com/kernel/google-modules/gpu/+/5381ff7b4106b277ff207396e293ede2bf959f0c,,The patch addresses the remaining site that was missed in the CVE-2021-28664 fix (see below).,https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2021/CVE-2021-39793.md,,,,4,1
CVE-2021-44828,CVE-2021-39793,llm,same_root_cause,True,False,0.75,no_overlap,0,,https://github.com/LumiPlayground/android_kernel_samsung_universal8895_419/commit/70d78952840f5dc4e9482b1441bebdad07b2a4e7,https://android.googlesource.com/kernel/google-modules/gpu/+/5381ff7b4106b277ff207396e293ede2bf959f0c,"""Looking through the list of public Mali bugs for issues described as _\""Mali GPU Kernel Driver elevates CPU RO pages to writable\""_, there is a third bug CVE-2021-44828 with this description.""",https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2021/CVE-2021-39793.md,,,,1,1
CVE-2021-21206,chromium:1045874,llm,same_root_cause,True,False,0.85,no_overlap,0,,https://chromium-review.googlesource.com/c/chromium/src/+/2812000,https://chromium-review.googlesource.com/c/chromium/src/+/2025573,unexpected JavaScript callback triggered by a `thennable` object' is a fairly well-known bug class within Chrome that commonly causes use-after-frees and [iterator-invalidation](crbug.com/1045874) issues.,https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2021/CVE-2021-21206.md,,,,1,2
CVE-2021-21206,chromium:663476,llm,same_root_cause,True,False,0.77,partial,0,,https://chromium-review.googlesource.com/c/chromium/src/+/2812000,,Promise.then publicly documented in https://bugs.chromium.org/p/chromium/issues/detail?id=663476#c10,https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2021/CVE-2021-21206.md,,,,1,2
CVE-2021-21206,chromium:678706,llm,same_root_cause,True,False,0.80,partial,0,,https://chromium-review.googlesource.com/c/chromium/src/+/2812000,,A vulnerability researcher could have also come across crbug.com/678706 and crbug.com/708887 dug deeper into this area of code. (Historical/present/future) context of bug: [crbug.com/678706] and [crbug.com/708887],https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2021/CVE-2021-21206.md,,,,1,2
CVE-2021-21206,chromium:708887,llm,same_root_cause,True,False,0.75,partial,0,,https://chromium-review.googlesource.com/c/chromium/src/+/2812000,,A vulnerability researcher could have also come across crbug.com/678706 and crbug.com/708887 dug deeper into this area of code.,https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2021/CVE-2021-21206.md,,,,1,2
CVE-2021-38000,chromium:1249962,overlap,see_also,True,False,0.80,overlap,25,base/android/java/src/org/chromium/base/PackageManagerUtils.java|chrome/android/aapt2.config|chrome/android/java/src/org/chromium/chrome/browser/DefaultBrowserInfo.java|chrome/android/java/src/org/chromium/chrome/browser/customtabs/CustomTabDelegateFactory.java|chrome/android/javatests/src/org/chromium/chrome/browser/externalnav/UrlOverridingTest.java,https://chromium.googlesource.com/chromium/src/+/36aa9d15d1283d8d9758b044b7a9a20349f507de,https://chromium-review.googlesource.com/c/chromium/src/+/3232895,Issue/Bug Report: https://bugs.chromium.org/p/chromium/issues/detail?id=1249962,https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2021/CVE-2021-38000.md,,,,1,1
CVE-2021-37975,chromium:1252918,overlap,see_also,True,False,0.90,overlap,5,src/heap/concurrent-marking.cc|src/heap/concurrent-marking.h|src/heap/incremental-marking.cc|src/heap/mark-compact.cc|src/heap/mark-compact.h,https://github.com/v8/v8/commit/e677a6f6b257e992094b9183a958b67ecc68aa85,https://chromium-review.googlesource.com/c/v8/v8/+/3197714,Issue/Bug Report: https://bugs.chromium.org/p/chromium/issues/detail?id=1252918,https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2021/CVE-2021-37975.md,,,,1,4
CVE-2021-37975,CVE-2019-13720,llm,same_root_cause,True,False,0.80,no_overlap,0,,https://github.com/v8/v8/commit/e677a6f6b257e992094b9183a958b67ecc68aa85,https://chromium-review.googlesource.com/c/chromium/src/+/1888103,**Known cases of the same exploit flow:** The `TypedArray/ArrayBuffer` exploit flow follows the exploit of [CVE-2019-13720](https://googleprojectzero.github.io/0days-in-the-wild//0day-RCAs/2019/CVE-2019-13720.html).,https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2021/CVE-2021-37975.md,,,,1,4
CVE-2021-37975,chromium:1252878,llm|overlap,same_root_cause,True,False,0.80,overlap,3,src/heap/cppgc/marker.cc|src/heap/cppgc/marking-state.h|test/unittests/heap/cppgc/marker-unittest.cc,https://github.com/v8/v8/commit/e677a6f6b257e992094b9183a958b67ecc68aa85,https://chromium-review.googlesource.com/c/v8/v8/+/3203052,The bug [1252878] ... appears to be the same ephemeron handling problem in oilpan.,https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2021/CVE-2021-37975.md,,,,2,4
CVE-2021-37975,github:v8/v8@e677a6f6b257,llm,same_root_cause,True,False,0.80,no_patches,0,,https://github.com/v8/v8/commit/e677a6f6b257e992094b9183a958b67ecc68aa85,https://github.com/v8/v8/commit/e677a6f6b257,Found variants: The bug [1252878] (https://bugs.chromium.org/p/chromium/issues/detail?id=1252878) (patch (https://github.com/v8/v8/commit/e677a6f6b257e992094b9183a958b67ecc68aa85)) appears to be a variant found and fixed by the developers at around the same time as this bug is fixed.,https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2021/CVE-2021-37975.md,,,,1,4
